title,genre1,genre2,start_date,end_date,day,time,num_eps,channel,next_drama,overview,pd1,pd2,pd3,wr1,wr2,wr3,ac1,ac2,ac3,ac4,first_rate,avg_rate,rate_25,prev,prev_25
초콜릿,,,2019-11-29,2020-01-18,"금, 토",오후 10:50,16,jtbc,이태원 클라쓰,"메스처럼 차가운 뇌 신경외과 의사 이강과 음식으로 사람들의 마음을 어루만지는 불처럼 따뜻한 셰프 문차영, 호스피스 병동에서 재회한 두 남녀가 요리를 통해 서로의 상처를 치유하는 휴먼 멜로",이형민,,,이경희,,,윤계상,하지원,장승조,민진웅,,,,,
하자있는 인간들,로맨틱 코미디,,2019-11-27,2020-01-16,"수, 목",오후 8:55,32,mbc,더 게임:0시를 향하여,꽃미남 혐오증 여자와 외모 집착증 남자가 만나 서로의 지독한 편견과 오해를 극복하며 진정한 사랑을 찾게 되는 신개념 명랑 쾌활 로맨틱 코미디 드라마,오진석,,,안신유,,,오연서,안재현,김슬기,구원,,,,,
싸이코패스 다이어리,스릴러,범죄,2019-11-20,2020-01-09,"수, 목",오후 9:30,16,tvn,머니게임,어쩌다 목격한 살인사건 현장에서 도망치던 중 사고로 기억을 잃은 호구 육동식이 우연히 얻게 된 살인 과정이 기록된 다이어리를 보고 자신이 싸이코패스 연쇄살인마라고 착각하며 벌어지는 이야기,이종재,,,류용재,김환채,최성준,윤시윤,정인선,박성훈,이한위,,,,,
농부사관학교 2,학원물,로맨스,2019-12-15,2020-01-05,월,오전 0:05,4,sbs,,"뜨거운 여름. 방학 기간이라 텅 빈 농수산대학교에 각각의 이유로 남아있는 한별, 주석, 유진, 만수, 해승 어느덧 3학년이 되어 졸업을 앞두고 있다. 창업 동아리에서 공모전을 준비하며 여러 가지 사건사고를 만들어낸다. 마지막 학기만을 남겨둔 토마토조(3학년)와 두 명의 뉴 페이스가 만들어내는 사랑과 우정, 꿈과 미래, 그리고 농사에 관한 이야기",김다영,,,이윤보,,,이태환,윤보미,이민지,이종원,,,,,
연애 기다린 보람 - 내사랑 울산큰애기,,,2019-12-28,2019-12-29,,,2,mbc drama,,"소문난 오지라퍼 중구청 공무원 울산 큰애기 강보람! 심쿵한 얼굴천재 경석이! 과연 보람은 일, 연애 두마리 토끼를 잡을수 있을까?",권순욱,,,조지영,김유정,,윤보라,장동주,방은희,조연우,,,,,
VIP,오피스,멜로,2019-10-28,2019-12-24,"월, 화",오후 10:00,16,sbs,낭만닥터 김사부 2,백화점 상위 1% VIP 고객을 관리하는 전담팀 사람들의 비밀스러운 프라이빗 오피스 멜로,이정림,,,차해원,,,장나라,이상윤,이청아,곽선영,,,,,
커넥트,청소년 드라마,,2019-11-02,2019-12-21,토,오후 5:05,8,obs 경인tv,,그동안 모르고 지나쳐왔던 청소년 및 어린이들이 겪었던 숨은 얘기들과 이들의 시선에서 바라본 가정과 사회의 병처럼 아픈 내용 등 미스터리한 일들을 재조명한 이야기,김성훈,,,김광민,,,박나영,윤열,정선아,허세인,,,,,
보좌관 2 - 세상을 움직이는 사람들,정치,피카레스크,2019-11-11,2019-12-10,"월, 화",오후 9:30,10,jtbc,검사내전,"금빛 배지를 거머쥔 국회의원 장태준의 위험한 질주, 그 치열한 여의도 생존기",곽정환,,,이대일,,,이정재,신민아,이엘리야,김동준,,,,,
유령을 잡아라,,,2019-10-21,2019-12-10,"월, 화",오후 9:30,16,tvn,블랙독,'첫차부터 막차까지! 우리의 지하는 지상보다 숨 가쁘다!' 시민들의 친숙한 이동 수단 지하철! 그곳을 지키는 지하철 경찰대가 '지하철 유령'으로 불리는 연쇄살인마를 잡기 위해 사건을 해결해가는 상극콤비 밀착수사기,신윤섭,,,소원,이영주,,문근영,김선호,정유진,기도훈,,,,,
레버리지 : 사기조작단,범죄,스릴러,2019-10-13,2019-12-08,일,오후 10:00,16,tv조선,,전직 보험수사관이 개성 강한 도둑들과 함께 팀을 꾸려 사기꾼들의 물건을 훔치는 이야기를 그린 드라마,남기훈,,,민지형,,,이동건,전혜빈,김새론,김권,,,,,
쌉니다 천리마마트,코미디,,2019-09-20,2019-12-06,금,오후 11:00,12,tvn,,"DM그룹의 공식 유배지, 재래 상권에도 밀리는 저품격 무사태평 천리마마트를 기사회생시키려는 엘리트 점장과 마트를 말아먹으려는 휴먼 불도저 사장의 사생결단 코믹 뺨타지 드라마 ",백승룡,,,김솔지,,,김병철,이동휘,정혜성,정민성,,,,,
모두의 거짓말,,,2019-10-12,2019-12-01,"토, 일",오후 10:30,16,ocn,,"""구하고 싶어? 살리려면 국회의원이 돼. 방법은 그것뿐이야."" 아버지의 갑작스런 죽음 이후 실종된 남편을 구하기 위해 국회의원이 되는 여자와 단 한 명의 죽음도 넘길 수 없는 형사의 진실을 좇는 시크릿 스릴러",이윤정,,,전영신,원유정,,이민기,이유영,이준혁,김시은,,,,,
모두 다 쿵따리,,,2019-07-16,2019-11-29,월~금,오전 7:50,99,mbc,나쁜사랑,미국에 입양 후 처음 오게 된 고향 쿵따리 마을에 정착하게 되며 벌어지는 좌충우돌 시골 적응기,김흥동,,,김지현,,,박시은,김호진,이보희,강석정,,,,,
시크릿 부티크,멜로,복수,2019-09-18,2019-11-28,"수, 목",오후 10:00,16,sbs,,강남 목욕탕 세신사에서 재벌인 데오가(家)의 하녀로 또다시 정재계 비선 실세로 거듭 성장한 제니장이 국제도시개발이란 황금알을 손에 쥐고 데오가 여제(女帝) 자리를 노리는 이야기,박형기,,,허선희,,,김선아,장미희,박희본,고민시,,,,,
조선로코 - 녹두전,로맨스,사극,2019-09-30,2019-11-25,"월, 화",오후 10:00,32,kbs2,,미스터리한 과부촌에 여장을 하고 잠입한 '전녹두'와 기생이 되기 싫은 반전 있는 처자 '동동주'의 발칙하고 유쾌한 조선판 로맨틱 코미디 드라마,김동휘,강수연,,임예진,백소연,,장동윤,김소현,강태오,정준호,,,,,
나의 나라,사극,,2019-10-04,2019-11-23,"금, 토",오후 10:50,16,jtbc,초콜릿,고려 말 조선 초를 배경으로 각자의 신념이 말하는 '나의 나라'를 두고 서로에게 칼끝을 겨누며 권력과 수호에 관한 욕망을 폭발적으로 그려낸 액션 사극,김진원,,,채승대,윤희정,,양세종,우도환,김설현,장혁,,,,,
